n,c1,c2
1,0.0,0.0
2,0.06400000000000002,0.19200000000000003
3,0.8960000000000002,0.8960000000000002
4,1.6000000000000003,2.4960000000000004
5,3.200000000000001,3.200000000000001
6,3.9040000000000012,4.800000000000001
7,5.504000000000001,5.504000000000002
8,6.208000000000002,7.104000000000003
9,7.808000000000003,7.808000000000003
10,8.512000000000002,9.408000000000003
11,10.112000000000004,10.112000000000002
12,10.816000000000004,11.712000000000003
13,12.416000000000004,12.416000000000004
14,13.120000000000005,14.016000000000005
15,14.720000000000006,14.720000000000006
16,15.424000000000007,16.320000000000007
17,17.024000000000004,17.024
18,17.728,18.624000000000002
19,19.328000000000003,19.328000000000003
20,20.032000000000004,20.928000000000004
21,21.632000000000005,21.632000000000005
22,22.336000000000006,23.232000000000006
23,23.936000000000007,23.936000000000007
24,24.640000000000008,25.53600000000001
25,26.24000000000001,26.24000000000001
26,26.94400000000001,27.84000000000001
27,28.54400000000001,28.54400000000001
28,29.24800000000001,30.144000000000013
29,30.848000000000013,30.848000000000013
30,31.552000000000014,32.448000000000015
31,33.152000000000015,33.152000000000015
32,33.85600000000001,34.75200000000001
33,35.456,35.456
34,36.16000000000001,37.05600000000001
35,37.760000000000005,37.760000000000005
36,38.46400000000001,39.360000000000014
37,40.06400000000001,40.06400000000001
38,40.768000000000015,41.664000000000016
39,42.36800000000001,42.36800000000001
40,43.07200000000002,43.96800000000002
41,44.67200000000001,44.67200000000001
42,45.37600000000002,46.27200000000002
43,46.97600000000001,46.97600000000001
44,47.68000000000002,48.57600000000002
45,49.280000000000015,49.280000000000015
46,49.98400000000002,50.880000000000024
47,51.58400000000002,51.58400000000002
48,52.288000000000025,53.184000000000026
49,53.88800000000002,53.88800000000003
50,54.59200000000003,55.48800000000003
51,56.19200000000002,56.19200000000002
52,56.89600000000003,57.79200000000002
53,58.49600000000002,58.49600000000003
54,59.20000000000003,60.09600000000003
55,60.800000000000026,60.800000000000026
56,61.50400000000003,62.40000000000003
57,63.10400000000003,63.104000000000035
58,63.808000000000035,64.70400000000004
59,65.40800000000002,65.40800000000003
60,66.11200000000002,67.00800000000001
61,67.71200000000002,67.712
62,68.41600000000001,69.31200000000001
63,70.01600000000002,70.01600000000002
64,70.72000000000001,71.61600000000001
65,72.32000000000002,72.32000000000001
66,73.02400000000002,73.92000000000002
67,74.62400000000002,74.62400000000001
68,75.32800000000002,76.22400000000002
69,76.92800000000003,76.92800000000003
70,77.63200000000002,78.52800000000002
71,79.23200000000003,79.23200000000001
72,79.93600000000002,80.83200000000002
73,81.53600000000003,81.53600000000003
74,82.24000000000002,83.13600000000002
75,83.84000000000003,83.84000000000002
76,84.54400000000003,85.44000000000003
77,86.14400000000003,86.14400000000003
78,86.84800000000003,87.74400000000003
79,88.44800000000004,88.44800000000002
80,89.15200000000003,90.04800000000003
81,90.75200000000002,90.75200000000004
82,91.45600000000003,92.35200000000003
83,93.05600000000004,93.05600000000003
84,93.76000000000003,94.65600000000003
85,95.36000000000003,95.36000000000004
86,96.06400000000004,96.96000000000004
87,97.66400000000004,97.66400000000004
88,98.36800000000004,99.26400000000004
89,99.96800000000005,99.96800000000005
90,100.67200000000004,101.56800000000004
91,102.27200000000005,102.27200000000005
92,102.97600000000004,103.87200000000004
93,104.57600000000005,104.57600000000005
94,105.28000000000004,106.17600000000004
95,106.88000000000005,106.88000000000004
96,107.58400000000003,108.48000000000005
97,109.18400000000005,109.18400000000005
98,109.88800000000005,110.78400000000005
99,111.48800000000006,111.48800000000004
100,112.19200000000006,113.08800000000006
101,113.79200000000004,113.79200000000006
102,114.49600000000005,115.39200000000004
103,116.09600000000006,116.09600000000005
104,116.80000000000004,117.69600000000005
105,118.40000000000006,118.40000000000006
106,119.10400000000006,120.00000000000006
107,120.70400000000006,120.70400000000005
108,121.40800000000006,122.30400000000006
109,123.00800000000005,123.00800000000007
110,123.71200000000005,124.60800000000006
111,125.31200000000007,125.31200000000005
112,126.01600000000006,126.91200000000006
113,127.61600000000007,127.61600000000004
114,128.32000000000008,129.21600000000007
115,129.92000000000007,129.92000000000007
116,130.62400000000005,131.52000000000004
117,132.22400000000005,132.22400000000005
118,132.92800000000003,133.82400000000004
119,134.52800000000002,134.52800000000002
120,135.23200000000003,136.12800000000001
121,136.83200000000005,136.83200000000002
122,137.53600000000003,138.43200000000002
123,139.13600000000002,139.13600000000002
124,139.84000000000003,140.73600000000002
125,141.44000000000003,141.44000000000003
126,142.14400000000003,143.04000000000002
127,143.74400000000003,143.74400000000003
128,144.44800000000004,145.34400000000002
129,146.04800000000003,146.048
130,146.75200000000004,147.64800000000002
131,148.35200000000003,148.35200000000003
132,149.05600000000004,149.95200000000003
133,150.65600000000003,150.65600000000003
134,151.36000000000004,152.25600000000003
135,152.96000000000004,152.96000000000004
136,153.66400000000004,154.56000000000003
137,155.26400000000007,155.26400000000004
138,155.96800000000005,156.86400000000003
139,157.56800000000004,157.56800000000004
140,158.27200000000005,159.16800000000006
141,159.87200000000004,159.87200000000004
142,160.57600000000002,161.47200000000004
143,162.17600000000004,162.17600000000004
144,162.88000000000005,163.77600000000004
145,164.48000000000005,164.48000000000005
146,165.18400000000005,166.08000000000004
147,166.78400000000005,166.78400000000005
148,167.48800000000006,168.38400000000004
149,169.08800000000005,169.08800000000005
