n,c1,c2
1,[],[]
2,[],[]
3,[],[]
4,[],[]
5,287.1187115458605,285.00418811276614
6,344.48375520394217,444.6025276962936
7,502.7699157725267,503.0519552310025
8,562.7692692936878,663.1256279904532
9,723.3824007794309,721.325227253326
10,782.026575445579,880.4941463955254
11,941.2282022180844,938.3753159005364
12,1000.3995445479843,1097.5053857805235
13,[],[]
14,[],[]
15,1379.0350879586845,1371.3297100461555
16,[],[]
17,[],[]
18,1658.765099826776,1745.405216230733
19,[],[]
20,[],[]
21,2033.8320201370275,2021.3043816168247
22,[],[]
23,[],[]
24,[],[]
25,2469.8476756161845,2456.424815525177
26,[],[]
27,[],[]
28,[],[]
29,[],[]
30,2961.432302601822,3049.445660088496
31,[],[]
32,[],[]
33,[],[]
34,[],[]
35,[],[]
36,[],[]
37,[],[]
38,[],[]
39,[],[]
40,4043.7879769904616,4133.2484125815345
41,[],[]
42,[],[]
43,[],[]
44,[],[]
45,[],[]
46,[],[]
47,[],[]
48,[],[]
49,[],[]
50,[],[]
51,[],[]
52,[],[]
53,[],[]
54,5566.073914474933,5659.021912694865
55,[],[]
56,[],[]
57,[],[]
58,[],[]
59,[],[]
60,[],[]
61,[],[]
62,[],[]
63,[],[]
64,[],[]
65,[],[]
66,[],[]
67,[],[]
68,[],[]
69,[],[]
70,7295.774898751868,7401.80041322797
71,[],[]
72,[],[]
73,[],[]
74,[],[]
75,[],[]
76,[],[]
77,[],[]
78,[],[]
79,[],[]
80,[],[]
81,[],[]
82,[],[]
83,[],[]
84,[],[]
85,[],[]
86,[],[]
87,[],[]
88,[],[]
89,[],[]
90,[],[]
91,[],[]
92,[],[]
93,[],[]
94,9916.870971673856,10017.505522479476
95,[],[]
96,[],[]
97,[],[]
98,[],[]
99,[],[]
