n,c1,c2
1,0.0,0.0
2,8.0,24.0
3,112.0,112.0
4,200.0,312.0
5,400.0,400.0
6,488.0,600.0
7,688.0,688.0
8,776.0,888.0
9,976.0,976.0
10,1064.0,1176.0
11,1264.0,1264.0
12,1352.0,1464.0
13,1552.0,1552.0
14,1640.0,1752.0
15,1840.0,1840.0
16,1928.0,2040.0
17,2128.0,2128.0
18,2216.0,2328.0
19,2416.0,2416.0
20,2504.0,2616.0
21,2704.0,2704.0
22,2792.0,2904.0
23,2992.0,2992.0
24,3080.0,3192.0
25,3280.0,3280.0
26,3368.0,3480.0
27,3568.0,3568.0
28,3656.0,3768.0
29,3856.0,3856.0
30,3944.0,4056.0
31,4144.0,4144.0
32,4232.0,4344.0
33,4432.0,4432.0
34,4520.0,4632.0
35,4720.0,4720.0
36,4808.0,4920.0
37,5008.0,5008.0
38,5096.0,5208.0
39,5296.0,5296.0
40,5384.0,5496.0
41,5584.0,5584.0
42,5672.0,5784.0
43,5872.0,5872.0
44,5960.0,6072.0
45,6160.0,6160.0
46,6248.0,6360.0
47,6448.0,6448.0
48,6536.0,6648.0
49,6736.0,6736.0
50,6824.0,6936.0
51,7024.0,7024.0
52,7112.0,7224.0
53,7312.0,7312.0
54,7400.0,7512.0
55,7600.0,7600.0
56,7688.0,7800.0
57,7888.0,7888.0
58,7976.0,8088.0
59,8176.0,8176.0
60,8264.0,8376.0
61,8464.0,8464.0
62,8552.0,8664.0
63,8752.0,8752.0
64,8840.0,8952.0
65,9040.0,9040.0
66,9128.0,9240.0
67,9328.0,9328.0
68,9416.0,9528.0
69,9616.0,9616.0
70,9704.0,9816.0
71,9904.0,9904.0
72,9992.0,10104.0
73,10192.0,10192.0
74,10280.0,10392.0
75,10480.0,10480.0
76,10568.0,10680.0
77,10768.0,10768.0
78,10856.0,10968.0
79,11056.0,11056.0
80,11144.0,11256.0
81,11344.0,11344.0
82,11432.0,11544.0
83,11632.0,11632.0
84,11720.0,11832.0
85,11920.0,11920.0
86,12008.0,12120.0
87,12208.0,12208.0
88,12296.0,12408.0
89,12496.0,12496.0
90,12584.0,12696.0
91,12784.0,12784.0
92,12872.0,12984.0
93,13072.0,13072.0
94,13160.0,13272.0
95,13360.0,13360.0
96,13448.0,13560.0
97,13648.0,13648.0
98,13736.0,13848.0
99,13936.0,13936.0
100,14024.0,14136.0
101,14224.0,14224.0
102,14312.0,14424.0
103,14512.0,14512.0
104,14600.0,14712.0
105,14800.0,14800.0
106,14888.0,15000.0
107,15088.0,15088.0
108,15176.0,15288.0
109,15376.0,15376.0
110,15464.0,15576.0
111,15664.0,15664.0
112,15752.0,15864.0
113,15952.0,15952.0
114,16040.0,16152.0
115,16240.0,16240.0
116,16328.0,16440.0
117,16528.0,16528.0
118,16616.0,16728.0
119,16816.0,16816.0
120,16904.0,17016.0
121,17104.0,17104.0
122,17192.0,17304.0
123,17392.0,17392.0
124,17480.0,17592.0
125,17680.0,17680.0
126,17768.0,17880.0
127,17968.0,17968.0
128,18056.0,18168.0
129,18256.0,18256.0
130,18344.0,18456.0
131,18544.0,18544.0
132,18632.0,18744.0
133,18832.0,18832.0
134,18920.0,19032.0
135,19120.0,19120.0
136,19208.0,19320.0
137,19408.0,19408.0
138,19496.0,19608.0
139,19696.0,19696.0
140,19784.0,19896.0
141,19984.0,19984.0
142,20072.0,20184.0
143,20272.0,20272.0
144,20360.0,20472.0
145,20560.0,20560.0
146,20648.0,20760.0
147,20848.0,20848.0
148,20936.0,21048.0
149,21136.0,21136.0
150,21224.0,21336.0
151,21424.0,21424.0
152,21512.0,21624.0
153,21712.0,21712.0
154,21800.0,21912.0
155,22000.0,22000.0
156,22088.0,22200.0
157,22288.0,22288.0
158,22376.0,22488.0
159,22576.0,22576.0
160,22664.0,22776.0
161,22864.0,22864.0
162,22952.0,23064.0
163,23152.0,23152.0
164,23240.0,23352.0
165,23440.0,23440.0
166,23528.0,23640.0
167,23728.0,23728.0
168,23816.0,23928.0
169,24016.0,24016.0
170,24104.0,24216.0
171,24304.0,24304.0
172,24392.0,24504.0
173,24592.0,24592.0
174,24680.0,24792.0
175,24880.0,24880.0
176,24968.0,25080.0
177,25168.0,25168.0
178,25256.0,25368.0
179,25456.0,25456.0
180,25544.0,25656.0
181,25744.0,25744.0
182,25832.0,25944.0
183,26032.0,26032.0
184,26120.0,26232.0
185,26320.0,26320.0
186,26408.0,26520.0
187,26608.0,26608.0
188,26696.0,26808.0
189,26896.0,26896.0
190,26984.0,27096.0
191,27184.0,27184.0
192,27272.0,27384.0
193,27472.0,27472.0
194,27560.0,27672.0
195,27760.0,27760.0
196,27848.0,27960.0
197,28048.0,28048.0
198,28136.0,28248.0
199,28336.0,28336.0
200,28424.0,28536.0
201,28624.0,28624.0
202,28712.0,28824.0
203,28912.0,28912.0
204,29000.0,29112.0
205,29200.0,29200.0
206,29288.0,29400.0
207,29488.0,29488.0
208,29576.0,29688.0
209,29776.0,29776.0
210,29864.0,29976.0
