n,c1,c2
1,0.0,0.0
2,0.024,0.168
3,1.7759999999999998,1.7759999999999998
4,3.384,6.12
5,7.727999999999999,7.727999999999998
6,9.336000000000002,12.072000000000001
7,13.680000000000001,13.680000000000001
8,15.288,18.024000000000004
9,19.63200000000001,19.632000000000012
10,21.24,23.976
11,25.584,25.584000000000003
12,27.192000000000004,29.928000000000004
13,31.536000000000005,31.536
14,33.144000000000005,35.88
15,37.48800000000001,37.48800000000001
16,39.096000000000004,41.832
17,43.44,43.44
18,45.047999999999995,47.784
19,49.391999999999996,49.391999999999996
20,51.0,53.736000000000004
21,55.344,55.343999999999994
22,56.952,59.688
23,61.29600000000001,61.296
24,62.904,65.64
25,67.248,67.248
26,68.85600000000001,71.59200000000001
27,73.2,73.20000000000002
28,74.808,77.54400000000001
29,79.15200000000002,79.15200000000002
30,80.76000000000002,83.49600000000001
31,85.10400000000001,85.104
32,86.712,89.44800000000001
33,91.056,91.056
34,92.66399999999999,95.4
35,97.00800000000001,97.008
36,98.616,101.352
37,102.96000000000001,102.96000000000001
38,104.56800000000001,107.30399999999999
39,108.91199999999999,108.91199999999999
40,110.52000000000001,113.256
41,114.864,114.864
42,116.47200000000001,119.208
43,120.81600000000002,120.81600000000002
44,122.424,125.16000000000001
45,126.768,126.768
46,128.376,131.11200000000002
47,132.72000000000003,132.72000000000003
48,134.328,137.06400000000002
49,138.67200000000003,138.67200000000003
50,140.28000000000003,143.01600000000002
51,144.62400000000002,144.62400000000002
52,146.23200000000003,148.96800000000002
53,150.57600000000002,150.57600000000002
54,152.18400000000003,154.92000000000002
55,156.52800000000002,156.52800000000002
56,158.13600000000002,160.872
57,162.48000000000002,162.48000000000002
58,164.08800000000002,166.824
59,168.43200000000002,168.43200000000002
60,170.04000000000002,172.776
61,174.38400000000001,174.384
62,175.992,178.728
63,180.336,180.336
64,181.94400000000002,184.68
65,186.288,186.288
66,187.89600000000002,190.632
67,192.24,192.24
68,193.848,196.584
69,198.192,198.192
70,199.8,202.536
71,204.144,204.144
72,205.752,208.488
73,210.096,210.096
74,211.704,214.44
75,216.048,216.04799999999997
76,217.656,220.392
77,222.0,222.0
78,223.60799999999998,226.344
79,227.952,227.952
80,229.56,232.296
81,233.904,233.904
82,235.512,238.24800000000002
83,239.85600000000002,239.85600000000002
84,241.464,244.2
85,245.80800000000002,245.80800000000002
86,247.41600000000005,250.15200000000002
87,251.76000000000002,251.76000000000005
88,253.36800000000005,256.10400000000004
89,257.712,257.712
90,259.32000000000005,262.05600000000004
91,263.66400000000004,263.664
92,265.27200000000005,268.00800000000004
93,269.61600000000004,269.61600000000004
94,271.22400000000005,273.96000000000004
95,275.56800000000004,275.56800000000004
96,277.17600000000004,279.91200000000003
97,281.52000000000004,281.52000000000004
98,283.12800000000004,285.86400000000003
99,287.47200000000004,287.47200000000004
100,289.08000000000004,291.81600000000003
101,293.42400000000004,293.42400000000004
102,295.03200000000004,297.76800000000003
103,299.37600000000003,299.37600000000003
104,300.98400000000004,303.72
105,305.3280000000001,305.3280000000001
106,306.93600000000004,309.672
107,311.28000000000003,311.28000000000003
108,312.88800000000003,315.624
109,317.2320000000001,317.232
110,318.84000000000003,321.576
111,323.184,323.1840000000001
112,324.79200000000003,327.528
113,329.1360000000001,329.136
114,330.744,333.48
115,335.088,335.088
116,336.696,339.432
117,341.04,341.04
118,342.648,345.384
119,346.992,346.99199999999996
120,348.6,351.336
121,352.944,352.94399999999996
122,354.552,357.288
123,358.896,358.896
124,360.504,363.24
125,364.848,364.84799999999996
126,366.456,369.192
127,370.8,370.8
128,372.408,375.144
129,376.752,376.752
130,378.36,381.096
131,382.704,382.704
132,384.312,387.048
133,388.656,388.656
134,390.264,393.0
135,394.608,394.608
136,396.216,398.952
137,400.56,400.56
138,402.168,404.904
139,406.512,406.512
140,408.12,410.856
141,412.46400000000006,412.46399999999994
142,414.07199999999995,416.808
143,418.41600000000005,418.416
144,420.024,422.76
145,424.368,424.368
146,425.976,428.712
147,430.32,430.31999999999994
148,431.928,434.664
149,436.272,436.27200000000005
150,437.88,440.616
