n,c1,c2
1,0.0,0.0
2,0.32000000000000006,3.5200000000000005
3,58.24,58.24
4,112.95999999999998,212.16
5,266.88000000000005,266.88000000000005
6,321.59999999999997,420.80000000000007
7,475.52,475.52
8,530.2399999999997,629.4399999999998
9,684.1599999999996,684.1599999999996
10,738.88,838.0799999999998
11,892.8,892.8000000000001
12,947.52,1046.7199999999998
13,1101.4399999999998,1101.4399999999998
14,1156.1599999999999,1255.36
15,1310.08,1310.08
16,1364.8,1464.0
17,1518.72,1518.72
18,1573.44,1672.6399999999999
19,1727.3599999999997,1727.3600000000001
20,1782.08,1881.28
21,1936.0,1936.0
22,1990.7199999999998,2089.92
23,2144.64,2144.64
24,2199.3599999999997,2298.5599999999995
25,2353.2799999999997,2353.2799999999997
26,2408.0,2507.2
27,2561.92,2561.9199999999996
28,2616.6399999999994,2715.8399999999997
29,2770.5599999999995,2770.56
30,2825.2799999999997,2924.4799999999996
31,2979.2,2979.2
32,3033.92,3133.12
33,3187.84,3187.84
34,3242.5600000000004,3341.7599999999998
35,3396.4799999999996,3396.4799999999996
36,3451.2,3550.4
37,3605.12,3605.12
38,3659.84,3759.0399999999995
39,3813.7599999999998,3813.76
40,3868.4799999999996,3967.68
41,4022.4,4022.3999999999996
42,4077.12,4176.32
43,4231.04,4231.040000000001
44,4285.76,4384.959999999999
45,4439.68,4439.68
46,4494.4,4593.6
47,4648.32,4648.32
48,4703.039999999999,4802.24
49,4856.959999999999,4856.959999999999
50,4911.68,5010.879999999999
51,5065.599999999999,5065.599999999999
52,5120.32,5219.52
53,5274.24,5274.24
54,5328.96,5428.16
55,5482.88,5482.88
56,5537.599999999999,5636.799999999999
57,5691.5199999999995,5691.52
58,5746.24,5845.439999999999
59,5900.16,5900.16
60,5954.879999999999,6054.08
61,6108.799999999999,6108.8
62,6163.5199999999995,6262.72
63,6317.4400000000005,6317.4400000000005
64,6372.160000000001,6471.360000000001
65,6526.08,6526.08
66,6580.8,6680.0
67,6734.72,6734.719999999999
68,6789.4400000000005,6888.639999999999
69,6943.360000000001,6943.36
70,6998.08,7097.28
71,7152.0,7152.0
72,7206.72,7305.919999999999
73,7360.64,7360.639999999999
74,7415.36,7514.559999999999
75,7569.28,7569.279999999999
76,7623.999999999999,7723.200000000001
77,7777.92,7777.919999999999
78,7832.639999999999,7931.84
79,7986.56,7986.5599999999995
80,8041.28,8140.48
81,8195.199999999999,8195.2
82,8249.919999999998,8349.12
83,8403.84,8403.84
84,8458.56,8557.76
85,8612.48,8612.48
86,8667.2,8766.4
87,8821.119999999999,8821.119999999999
88,8875.84,8975.04
89,9029.76,9029.76
90,9084.48,9183.68
91,9238.4,9238.4
92,9293.12,9392.32
93,9447.04,9447.04
94,9501.76,9600.96
95,9655.68,9655.68
96,9710.4,9809.599999999999
97,9864.320000000002,9864.32
98,9919.04,10018.24
99,10072.96,10072.96
100,10127.679999999998,10226.88
101,10281.6,10281.599999999999
102,10336.32,10435.52
103,10490.24,10490.24
104,10544.96,10644.16
105,10698.88,10698.88
106,10753.6,10852.8
107,10907.52,10907.52
108,10962.24,11061.439999999999
109,11116.16,11116.16
110,11170.88,11270.079999999998
111,11324.8,11324.8
112,11379.52,11478.72
113,11533.439999999999,11533.439999999999
114,11588.16,11687.359999999999
115,11742.08,11742.08
116,11796.8,11896.0
117,11950.720000000001,11950.72
118,12005.44,12104.64
119,12159.359999999999,12159.359999999999
120,12214.08,12313.279999999999
121,12368.0,12368.0
122,12422.720000000001,12521.92
123,12576.64,12576.64
124,12631.36,12730.56
125,12785.279999999999,12785.28
126,12840.0,12939.2
127,12993.920000000002,12993.92
128,13048.64,13147.839999999998
129,13202.560000000001,13202.560000000001
130,13257.28,13356.480000000001
131,13411.2,13411.2
132,13465.920000000002,13565.119999999999
133,13619.84,13619.839999999998
134,13674.560000000001,13773.759999999998
135,13828.48,13828.48
136,13883.2,13982.400000000001
137,14037.119999999999,14037.119999999999
138,14091.84,14191.039999999997
139,14245.76,14245.759999999998
140,14300.48,14399.68
141,14454.400000000001,14454.399999999998
142,14509.120000000003,14608.319999999998
143,14663.04,14663.039999999999
144,14717.760000000002,14816.96
145,14871.68,14871.679999999998
146,14926.4,15025.6
147,15080.32,15080.32
148,15135.039999999999,15234.240000000002
149,15288.96,15288.96
150,15343.68,15442.880000000001
151,15497.6,15497.6
152,15552.320000000002,15651.52
153,15706.24,15706.240000000002
154,15760.96,15860.16
155,15914.880000000001,15914.880000000001
156,15969.600000000002,16068.8
157,16123.52,16123.52
158,16178.24,16277.44
159,16332.16,16332.16
160,16386.879999999997,16486.079999999998
161,16540.8,16540.8
162,16595.519999999997,16694.72
163,16749.44,16749.44
164,16804.159999999996,16903.36
165,16958.08,16958.08
166,17012.8,17112.0
167,17166.72,17166.72
168,17221.439999999995,17320.64
169,17375.36,17375.36
170,17430.079999999998,17529.28
171,17584.0,17584.0
172,17638.72,17737.92
173,17792.64,17792.64
174,17847.359999999997,17946.559999999998
175,18001.28,18001.28
176,18056.0,18155.2
177,18209.920000000002,18209.92
178,18264.64,18363.84
179,18418.56,18418.559999999998
180,18473.28,18572.480000000003
181,18627.199999999997,18627.2
182,18681.92,18781.12
183,18835.84,18835.84
184,18890.559999999998,18989.76
185,19044.48,19044.48
186,19099.2,19198.4
187,19253.12,19253.12
188,19307.84,19407.04
189,19461.760000000002,19461.760000000002
190,19516.480000000003,19615.68
191,19670.4,19670.4
192,19725.120000000003,19824.32
193,19879.04,19879.04
194,19933.760000000002,20032.96
195,20087.68,20087.68
196,20142.4,20241.6
197,20296.32,20296.32
198,20351.04,20450.239999999998
199,20504.96,20504.96
200,20559.68,20658.879999999997
201,20713.6,20713.6
202,20768.32,20867.52
203,20922.239999999998,20922.239999999998
204,20976.96,21076.16
205,21130.879999999997,21130.879999999997
206,21185.6,21284.8
207,21339.519999999997,21339.519999999997
208,21394.239999999998,21493.44
209,21548.159999999996,21548.16
210,21602.879999999997,21702.08
211,21756.8,21756.8
212,21811.52,21910.72
213,21965.44,21965.440000000002
214,22020.16,22119.36
215,22174.079999999998,22174.08
216,22228.799999999996,22328.0
217,22382.719999999998,22382.719999999998
218,22437.44,22536.64
219,22591.359999999997,22591.36
220,22646.079999999998,22745.28
221,22800.0,22800.0
222,22854.72,22953.920000000002
223,23008.64,23008.64
224,23063.36,23162.559999999998
225,23217.28,23217.28
226,23272.0,23371.199999999997
227,23425.92,23425.92
228,23480.64,23579.84
229,23634.559999999998,23634.559999999998
230,23689.28,23788.48
231,23843.2,23843.199999999997
232,23897.92,23997.119999999995
233,24051.84,24051.84
234,24106.56,24205.76
235,24260.48,24260.479999999996
236,24315.199999999997,24414.4
237,24469.120000000003,24469.12
238,24523.839999999997,24623.04
239,24677.76,24677.76
240,24732.479999999996,24831.68
241,24886.4,24886.399999999998
242,24941.12,25040.32
243,25095.04,25095.04
244,25149.76,25248.960000000003
245,25303.68,25303.68
246,25358.4,25457.6
247,25512.320000000003,25512.32
248,25567.04,25666.24
249,25720.960000000003,25720.96
250,25775.68,25874.880000000005
251,25929.6,25929.600000000002
252,25984.320000000003,26083.519999999997
253,26138.24,26138.239999999998
254,26192.96,26292.159999999996
255,26346.879999999997,26346.88
256,26401.600000000002,26500.8
257,26555.52,26555.520000000004
258,26610.24,26709.439999999995
259,26764.160000000003,26764.16
260,26818.880000000005,26918.079999999998
261,26972.800000000003,26972.800000000003
262,27027.52,27126.72
263,27181.440000000002,27181.44
264,27236.160000000003,27335.36
265,27390.08,27390.08
266,27444.800000000003,27544.0
267,27598.72,27598.72
268,27653.440000000002,27752.64
269,27807.36,27807.36
270,27862.08,27961.28
271,28016.0,28016.0
272,28070.72,28169.92
273,28224.64,28224.64
274,28279.36,28378.559999999998
275,28433.28,28433.28
276,28488.0,28587.199999999997
277,28641.920000000002,28641.92
278,28696.64,28795.84
279,28850.56,28850.559999999994
280,28905.28,29004.479999999996
281,29059.199999999997,29059.199999999997
282,29113.920000000006,29213.119999999995
283,29267.84,29267.839999999997
284,29322.56,29421.76
285,29476.480000000003,29476.479999999996
286,29531.199999999997,29630.4
287,29685.12,29685.119999999995
288,29739.839999999997,29839.039999999997
289,29893.760000000002,29893.76
290,29948.479999999996,30047.68
291,30102.399999999998,30102.4
292,30157.12,30256.32
293,30311.039999999997,30311.04
294,30365.760000000002,30464.96
295,30519.68,30519.679999999997
296,30574.399999999998,30673.6
297,30728.32,30728.32
298,30783.04,30882.239999999998
299,30936.960000000003,30936.96
