n,c1,c2
1,0.0,0.0
2,0.16000000000000003,0.9600000000000001
3,1.9200000000000004,1.12
4,2.0800000000000005,2.880000000000001
5,3.8400000000000003,3.040000000000001
6,4.0,4.800000000000001
7,5.760000000000001,4.960000000000001
8,5.920000000000001,6.720000000000001
9,7.680000000000001,6.880000000000001
10,7.840000000000001,8.64
11,9.600000000000001,8.8
12,9.760000000000002,10.56
13,11.520000000000001,10.72
14,11.680000000000001,12.480000000000002
15,13.440000000000001,12.640000000000002
16,13.600000000000001,14.400000000000002
17,15.360000000000003,14.560000000000002
18,15.520000000000003,16.32
19,17.28,16.48
20,17.44,18.240000000000002
21,19.200000000000003,18.400000000000002
22,19.360000000000003,20.160000000000004
23,21.120000000000005,20.320000000000004
24,21.280000000000005,22.080000000000005
25,23.040000000000006,22.240000000000006
26,23.200000000000006,24.000000000000007
27,24.960000000000008,24.160000000000007
28,25.120000000000008,25.920000000000005
29,26.880000000000006,26.080000000000005
30,27.040000000000006,27.840000000000007
31,28.800000000000004,28.000000000000007
32,28.960000000000004,29.760000000000005
33,30.720000000000006,29.920000000000005
34,30.880000000000006,31.680000000000003
35,32.639999999999986,31.840000000000003
36,32.79999999999998,33.59999999999998
37,34.56,33.75999999999998
38,34.72,35.519999999999996
39,36.47999999999999,35.67999999999999
40,36.639999999999986,37.43999999999998
41,38.400000000000006,37.59999999999998
42,38.56,39.36
43,40.31999999999999,39.519999999999996
44,40.47999999999999,41.27999999999999
45,42.24000000000001,41.43999999999998
46,42.400000000000006,43.2
47,44.16,43.36
48,44.31999999999999,45.11999999999999
49,46.080000000000005,45.27999999999999
50,46.24,47.03999999999999
51,47.999999999999986,47.19999999999999
52,48.15999999999998,48.95999999999998
53,49.92,49.119999999999976
54,50.08,50.879999999999995
55,51.83999999999999,51.03999999999999
56,51.999999999999986,52.79999999999998
57,53.760000000000005,52.95999999999998
58,53.92,54.72
59,55.67999999999999,54.879999999999995
60,55.83999999999999,56.639999999999986
61,57.60000000000001,56.79999999999998
62,57.760000000000005,58.56
63,59.519999999999996,58.72
64,59.67999999999999,60.47999999999999
65,61.440000000000005,60.639999999999986
66,61.599999999999994,62.4
67,63.36,62.56
68,63.519999999999996,64.32
69,65.28,64.48
70,65.44,66.24000000000001
71,67.2,66.4
72,67.36,68.16
73,69.12,68.32000000000001
74,69.28,70.08
75,71.03999999999999,70.24
76,71.2,72.0
77,72.96000000000001,72.16
78,73.12,73.92
79,74.88,74.08
80,75.04,75.84
81,76.8,76.0
82,76.96,77.75999999999999
83,78.72,77.92
84,78.88,79.68
85,80.64,79.84
86,80.8,81.6
87,82.56,81.76
88,82.72,83.52000000000001
89,84.47999999999999,83.68
90,84.64,85.44
91,86.4,85.6
92,86.56,87.36
93,88.32,87.52
94,88.48,89.28
95,90.24000000000001,89.44
96,90.4,91.2
97,92.16,91.36
98,92.32000000000001,93.12
99,94.08000000000001,93.28
100,94.24000000000001,95.04
101,96.0,95.2
102,96.16000000000001,96.96000000000001
103,97.92000000000002,97.12
104,98.08000000000001,98.88000000000001
105,99.84,99.04
106,100.00000000000001,100.80000000000001
107,101.76000000000002,100.96000000000001
108,101.92000000000002,102.72000000000001
109,103.68,102.88000000000001
110,103.84000000000002,104.64000000000001
111,105.60000000000002,104.80000000000001
112,105.76000000000002,106.56000000000002
113,107.52000000000001,106.72000000000001
114,107.68000000000002,108.48000000000002
115,109.44000000000003,108.64000000000001
116,109.60000000000002,110.40000000000002
117,111.36000000000001,110.56000000000002
118,111.52000000000002,112.32000000000002
119,113.28000000000003,112.48000000000002
120,113.44000000000003,114.24000000000002
121,115.20000000000002,114.40000000000002
122,115.36000000000003,116.16000000000003
123,117.12000000000003,116.32000000000002
124,117.28000000000003,118.08000000000003
125,119.04000000000002,118.24000000000002
126,119.20000000000002,120.00000000000003
127,120.96000000000002,120.16000000000003
128,121.12000000000002,121.92000000000002
129,122.88000000000002,122.08000000000003
130,123.04000000000002,123.84000000000003
131,124.80000000000003,124.00000000000003
132,124.96000000000002,125.76000000000002
133,126.72000000000003,125.92000000000003
134,126.88000000000002,127.68000000000004
135,128.64000000000004,127.84000000000003
136,128.80000000000004,129.60000000000002
137,130.56,129.76000000000002
138,130.72,131.51999999999998
139,132.48,131.67999999999998
140,132.64,133.44
141,134.39999999999998,133.6
142,134.56,135.35999999999999
143,136.32,135.51999999999998
144,136.48,137.28
145,138.24,137.44
146,138.4,139.2
147,140.16,139.35999999999999
148,140.32,141.12
149,142.07999999999998,141.28
150,142.24,143.04
151,144.0,143.2
152,144.16,144.96
153,145.92000000000002,145.12
154,146.08,146.88
155,147.84,147.04
156,148.0,148.8
157,149.76,148.96
158,149.92000000000002,150.72
159,151.68,150.88
160,151.84,152.64000000000001
161,153.6,152.8
162,153.76,154.56
163,155.51999999999998,154.72
164,155.68,156.48
165,157.44,156.64
166,157.6,158.4
167,159.36,158.56
168,159.52,160.32
169,161.27999999999997,160.48000000000002
170,161.44,162.23999999999998
171,163.2,162.39999999999998
172,163.35999999999999,164.16
173,165.12,164.32
174,165.28,166.07999999999998
175,167.04,166.23999999999998
176,167.2,168.0
177,168.95999999999998,168.16
178,169.12,169.92
179,170.88,170.07999999999998
180,171.04,171.84
181,172.8,172.0
182,172.95999999999998,173.76
183,174.72,173.92000000000002
184,174.88,175.68
185,176.64,175.84
186,176.8,177.6
187,178.56,177.76
188,178.72,179.52
189,180.48000000000002,179.68
190,180.64,181.44
191,182.4,181.60000000000002
192,182.56,183.36
193,184.32,183.52
194,184.48000000000002,185.28
195,186.24,185.44
196,186.4,187.20000000000002
197,188.16000000000003,187.36
198,188.32,189.12
199,190.08,189.28000000000003
200,190.24,191.04000000000002
201,192.0,191.20000000000002
202,192.16000000000003,192.96
203,193.92000000000002,193.12
204,194.08,194.88000000000002
205,195.84000000000003,195.04000000000002
206,196.0,196.8
207,197.76000000000002,196.96000000000004
208,197.92000000000002,198.72000000000003
209,199.68,198.88000000000002
210,199.84000000000003,200.64000000000001
211,201.60000000000002,200.8
212,201.76000000000002,202.56000000000003
213,203.52000000000004,202.72000000000003
214,203.68,204.48000000000002
215,205.44000000000003,204.64000000000004
216,205.60000000000002,206.40000000000003
217,207.36,206.56000000000003
218,207.52000000000004,208.32000000000002
219,209.28000000000003,208.48000000000002
220,209.44000000000003,210.24000000000004
221,211.20000000000005,210.40000000000003
222,211.36,212.16000000000003
223,213.12000000000003,212.32000000000005
224,213.28000000000003,214.08000000000004
225,215.04000000000002,214.24000000000004
226,215.20000000000005,216.00000000000003
227,216.96000000000004,216.16000000000003
228,217.12000000000003,217.92000000000004
229,218.88000000000005,218.08000000000004
230,219.04000000000002,219.84000000000003
231,220.80000000000004,220.00000000000006
232,220.96000000000004,221.76000000000005
233,222.72000000000003,221.92000000000004
234,222.88000000000005,223.68000000000004
235,224.64000000000004,223.84000000000003
236,224.80000000000004,225.60000000000005
237,226.56000000000006,225.76000000000005
238,226.72000000000003,227.52000000000004
239,228.48000000000005,227.68000000000006
240,228.64000000000004,229.44000000000005
241,230.40000000000003,229.60000000000005
242,230.56000000000006,231.36000000000004
243,232.32000000000005,231.52000000000004
244,232.48000000000005,233.28000000000006
245,234.24000000000007,233.44000000000005
246,234.40000000000003,235.20000000000005
247,236.16000000000005,235.36000000000004
248,236.32000000000005,237.12000000000006
249,238.08000000000004,237.28000000000003
250,238.24000000000007,239.04000000000005
251,240.00000000000006,239.20000000000005
252,240.16000000000005,240.96000000000004
253,241.92000000000007,241.12000000000006
254,242.08000000000004,242.88000000000005
255,243.84000000000006,243.04000000000005
256,244.00000000000006,244.80000000000007
257,245.76000000000005,244.96000000000004
258,245.92000000000007,246.72000000000006
259,247.68000000000006,246.88000000000005
260,247.84000000000006,248.64000000000004
261,249.60000000000005,248.80000000000007
262,249.76000000000005,250.56000000000006
263,251.52000000000007,250.72000000000006
264,251.68000000000006,252.48000000000008
265,253.44,252.64000000000004
266,253.60000000000002,254.4
267,255.36,254.56
268,255.52,256.32
269,257.28,256.48
270,257.44,258.24
271,259.2,258.4
272,259.36,260.16
273,261.12,260.32
274,261.28,262.08
275,263.03999999999996,262.24
276,263.2,264.0
277,264.96,264.15999999999997
278,265.12,265.91999999999996
279,266.88,266.08
280,267.03999999999996,267.84
281,268.79999999999995,268.0
282,268.96,269.76
283,270.71999999999997,269.91999999999996
284,270.88,271.68
285,272.64,271.84
286,272.79999999999995,273.59999999999997
287,274.56,273.76
288,274.71999999999997,275.52
289,276.48,275.68
290,276.64,277.44
291,278.4,277.6
292,278.56,279.36
293,280.32,279.52
294,280.48,281.28
295,282.24,281.44
296,282.4,283.2
297,284.15999999999997,283.36
298,284.32,285.12
299,286.08,285.28
